後	后
齒	齿
齔	龀
齙	龅
齜	龇
齟	龃
齠	龆
齡	龄
齣	出
齦	龈
齪	龊
齬	龉
齲	龋
齷	龌
龍	龙
龐	庞
龔	龚
龕	龛
龜	龟
