category,lang,operator,input,expected,itntext,wetext,itntext_status,wetext_status,itntext_cold_ms,wetext_cold_ms,note
时间,en,itn,ten thirty,1030,1030,1030,pass,pass,1.181,1.048,
金额/货币,en,itn,twelve dollars fifty cents,$12.50,$12.50,$12.50,pass,pass,2.624,1.825,
金额/货币,en,itn,twelve euros,€12,€12,€12,pass,pass,1.083,0.919,
单位,en,itn,twelve kilograms,12 kg,12 kg,12 kg,pass,pass,1.099,0.963,
电话,en,itn,one two three four,1234,1234,1234,pass,pass,2.119,1.824,
多语言数字,de,itn,ein hundert drei und zwanzig,,123,unsupported,observe,unsupported,36.835,,
多语言数字,es,itn,ciento veintitrés,,123,unsupported,observe,unsupported,15.536,,
多语言数字,fr,itn,cent vingt trois,,120 trois,unsupported,observe,unsupported,54.533,,
多语言数字,id,itn,seratus dua puluh tiga,123,123,unsupported,pass,unsupported,29.840,,
多语言数字,ja,itn,百二十三,123,123,unsupported,pass,unsupported,60.682,,
多语言数字,ko,itn,백이십삼,,백이십삼,unsupported,observe,unsupported,23.563,,
多语言数字,pt,itn,cento e vinte três,,123,unsupported,observe,unsupported,16.907,,
多语言数字,ru,itn,сто двадцать три,,123,unsupported,observe,unsupported,389.727,,
多语言数字,tl,itn,isang daan dalawampu tatlo,,100 20 3,unsupported,observe,unsupported,22.788,,
多语言数字,vi,itn,một trăm hai mươi ba,,123,unsupported,observe,unsupported,14.820,,
多语言TN,de,tn,123,,ein hundert drei und zwanzig,unsupported,observe,unsupported,129.487,,
多语言TN,es,tn,123,,ciento veintitrés,unsupported,observe,unsupported,599.884,,
多语言TN,ru,tn,123,сто двадцать три,сто двадцать три,unsupported,pass,unsupported,866.597,,
